row_id,Moisture_T30,Moisture_T15
258,-5.749994704,-6.309458711
259,-5.990747904,-6.085148634
260,-5.678256737,-4.885141427
261,-7.756412538,-8.610810988
262,-7.384482917,-7.40681347
263,-7.65035154,-7.466046243
264,-6.863947518,-6.361934687
265,-6.806335439,-5.936471381
266,-5.126309114,-6.143516275
267,-6.686526954,-5.829203301
268,-5.975534149,-6.099053471
269,-4.751163952,-6.572941495
270,-3.984441257,-7.161007682
271,-6.890349421,-6.862036338
272,-7.141366602,-6.219809452
273,-5.228812172,-5.113279013
274,-4.705253514,-5.333272264
275,-6.031024955,-4.757464506
276,-5.222639451,-6.141788967
277,-5.940834496,-5.123010177
278,-5.455274135,-6.018973314
279,-6.660276926,-5.276382544
280,-6.042355363,-5.857146106
281,-5.222639451,-6.141788967
282,-7.245014636,-8.64195866
283,-5.222639451,-6.141788967
284,-5.021655505,-4.813946359
285,-4.580846466,-5.343019556
286,-4.538936873,-5.440821639
287,-5.108456154,-5.744626177
288,-4.989297175,-4.461701185
289,-4.927335278,-7.866810478
290,-6.130873823,-5.64342267
291,-8.808057078,-9.808595192
292,-4.63198988,-4.474601994
293,-5.599385136,-5.988698357
294,-5.60165762,-5.362873582
295,-5.465828196,-5.923149564
296,-6.384764826,-6.951547801
297,-7.117383813,-7.285911837
298,-7.816312753,-7.160133572
299,-6.157506574,-6.919904995
300,-5.661792751,-5.512039198
301,-5.101935419,-4.501854448
302,-6.957298987,-6.55016402
303,-5.465467681,-5.175023195
304,-4.157028211,-4.311587788
305,-4.444176296,-6.09911797
306,-6.77359919,-7.077952882
307,-4.888909938,-4.116987901
308,-7.575829707,-4.61969001
309,-6.348144544,-7.127209468
310,-4.434575458,-4.182015009
311,-6.397398207,-6.453082247
312,-5.358992868,-5.443707321
313,-7.40740542,-8.30368444
314,-5.921667291,-5.639543185
315,-7.004266914,-7.177527578
316,-8.698244575,-8.48706139
317,-9.727607929,-7.179712956
318,-8.378766438,-7.507451856
319,-6.152259719,-7.043353636
320,-5.437897069,-5.218181427
321,-6.21799416,-6.057717642
322,-8.795012049,-8.909360041
323,-6.901426429,-5.216548219
324,-5.528040349,-7.173923913
325,-5.394691084,-5.483430837
326,-7.538184089,-5.167359331
327,-8.565491713,-9.991185225
328,-8.672812814,-9.132032025
329,-9.315329961,-8.481932697
330,-7.396252329,-7.584113253
331,-5.723152404,-4.133442943
332,-6.916542566,-5.569220247
333,-6.94518461,-7.69655117
334,-5.626433692,-5.842349435
335,-5.247735897,-6.263364231
336,-6.488269905,-7.854479013
337,-6.752624979,-6.823818955
338,-6.228692489,-6.038306425
339,-5.614738713,-5.376221445
340,-6.703095706,-7.484279804
341,-6.323984243,-6.499114979
342,-6.125571679,-5.766312136
343,-8.321515191,-9.216500031
344,-5.522136865,-5.288341841
345,-5.245265899,-4.546609283
346,-4.29727664,-6.816196615
347,-6.135862149,-4.562395767
348,-6.153152204,-6.560405708
349,-4.521810925,-3.88825342
350,-4.29727664,-6.816196615
351,-5.121532633,-5.516473432
352,-5.710128616,-7.162073004
353,-6.12839646,-5.552027037
354,-6.213817524,-7.230103109
355,-5.245265899,-4.546609283
356,-4.868763824,-5.7019129
357,-6.622135871,-6.421215698
358,-5.915078915,-4.4255507
359,-4.883879308,-5.666684514
360,-6.357519965,-7.818974438
361,-5.975534149,-6.099053471
362,-6.487951326,-4.549615452
363,-5.049693261,-6.256279248
364,-6.461878949,-6.473957111
365,-6.013894764,-6.325939283
366,-4.29727664,-6.816196615
367,-7.155362576,-6.020438711
368,-6.440492708,-7.062430655
369,-6.392126957,-5.705010259
370,-7.62037553,-5.731664594
371,-5.439384967,-3.531263486
372,-7.143682043,-6.432043633
373,-6.993481874,-6.476823251
374,-8.41410398,-8.33286179
375,-5.643872647,-5.536563398
376,-5.667079891,-5.541589941
377,-5.398036207,-6.035382272
378,-7.739414896,-4.950848249
379,-6.762138129,-8.299958079
380,-5.927496802,-5.829332672
381,-9.867087166,-9.284741863
382,-10.22183814,-8.970549203
383,-5.440173838,-5.263991244
384,-9.601696353,-8.654289654
385,-4.901322054,-6.047948765
386,-6.032954442,-5.36015231
387,-7.892625295,-8.782489017
388,-4.484782763,-5.943126127
389,-6.397440649,-5.154088657
390,-5.332509854,-4.828381801
391,-6.933788084,-7.415796542
392,-7.617422309,-8.862211741
393,-6.466116807,-8.466034104
394,-7.854773142,-8.921110832
395,-4.784002303,-5.896859665
396,-5.381117786,-5.198861571
397,-8.503044334,-8.550761839
398,-5.531148688,-6.647110294
399,-9.43042116,-9.03685513
400,-6.22056227,-5.173330126
401,-7.295148564,-7.30149442
402,-5.44736468,-5.070426749
403,-4.29727664,-6.816196615
404,-4.327610479,-5.269349576
405,-5.77440434,-5.644049997
406,-5.606639167,-5.595550021
407,-5.245265899,-4.546609283
408,-8.007794234,-8.025648582
409,-6.127216659,-6.587468056
410,-4.811085937,-5.242831814
411,-5.595292327,-5.020701084
412,-5.731436745,-6.067235117
413,-10.12826257,-8.5073748
414,-5.595991931,-5.870659506
415,-8.665382963,-9.065097697
416,-9.147016766,-9.015670162
417,-5.334512613,-7.351514952
418,-8.092911577,-8.674731777
419,-11.24677366,-9.575379907
420,-11.11544704,-10.89309642
421,-4.961734178,-4.97972376
422,-5.679089311,-4.159998921
423,-9.147016766,-9.015670162
424,-6.564034027,-7.659589479
425,-7.858640918,-6.132869779
426,-6.863627988,-7.616491079
427,-5.908535884,-4.892527719
428,-5.79691729,-5.482052503
429,-5.159771685,-4.886968908
430,-6.39752374,-5.134746255
431,-6.715723963,-5.847711211
432,-6.144075312,-5.100396822
433,-5.465736272,-5.179703789
434,-8.784010419,-8.390293195
435,-8.335453281,-9.747482871
436,-4.430594729,-6.175193696
437,-5.429143335,-4.424043069
438,-6.127216659,-6.587468056
439,-6.372396172,-5.318238258
440,-6.903772126,-6.957390952
441,-10.38118528,-9.050358104
442,-4.282292047,-4.856196628
443,-6.437882656,-6.045935541
444,-5.120352141,-4.542141096
445,-4.42903978,-5.416401266
446,-4.556531956,-5.032933521
447,-4.342693875,-4.842654413
448,-4.548705895,-5.09710133
449,-6.502589512,-5.678222733
450,-8.121989869,-8.95907949
451,-5.326935744,-5.999600533
452,-5.132083435,-5.19208173
453,-6.23276619,-5.982494534
454,-6.412908185,-5.554414009
455,-4.915552787,-5.739391618
456,-6.72254306,-6.458914418
457,-5.595739621,-8.123029985
458,-8.003716203,-8.479113722
459,-5.209819589,-5.570989743
460,-6.434936772,-6.518956153
461,-6.276515673,-5.696222248
462,-5.9068994,-5.251114574
463,-11.56887431,-11.92016468
464,-10.69524236,-10.68534613
465,-5.445277596,-4.90156078
466,-5.659142063,-4.574080114
467,-5.937421028,-4.712825166
468,-5.276327441,-5.398996653
469,-6.230441296,-6.185083228
470,-8.083904134,-6.735186008
471,-6.10003392,-7.237308168
472,-5.318473761,-4.947878715
473,-8.393757989,-7.971860631
474,-8.091681769,-7.437011558
475,-6.1756914,-7.400117628
476,-7.009689601,-6.107838244
