row_id,X,Y,Presence,Week,WeekStart,ObsDate,Source,Precip_T45,Precip,Temp,SoilTemp_T30,SoilTemp_T15,Moisture_T30,Moisture_T15,RVI_T45,RVI_T30,RVI_T0,RVI_Phenology_Delta
298,38.351166,5.31635,0,5,2020-03-17,2020-03-21,fao_no_locust,0.000781685,0.002724617,295.3688315,297.3410868,297.7021417,-7.816312753,-7.160133572,0.7020727263876809,0.567515031307781,0.7187460071760865,-0.1345576950798999
299,38.32665,5.362933,0,5,2020-03-17,2020-03-21,fao_no_locust,0.00140664,0.002762362,294.4341852,296.2074334,296.5079468,-6.157506574,-6.919904995,0.6692756596261153,0.7800153422532891,0.9122777251092712,0.11073968262717371
300,38.259815,5.523133,0,5,2020-03-17,2020-03-21,fao_no_locust,0.002733782,0.003526523,293.8722495,296.871664,296.9291057,-5.661792751,-5.512039198,0.7541862215041042,0.8541880366130189,0.5467377080184995,0.1000018151089147
301,38.2925,5.272083,0,5,2020-03-17,2020-03-21,fao_no_locust,0.000840798,0.002568125,295.0194771,297.1279086,297.3638659,-5.101935419,-4.501854448,0.6960435029412106,0.9439797628668478,0.8693104038258921,0.24793625992563717
302,38.061817,4.911767,0,5,2020-03-17,2020-03-21,fao_no_locust,0.002003104,0.026532858,293.4209691,295.522863,296.2613539,-6.957298987,-6.55016402,0.669303525015471,0.6708217689677266,0.7831842012012343,0.001518243952255638
303,38.033615,4.930666,0,5,2020-03-17,2020-03-21,fao_no_locust,0.002523109,0.036368548,293.6762914,295.3199659,295.8795831,-5.465467681,-5.175023195,0.7560476858456342,0.8849492386748277,0.6863328572365419,0.12890155282919347
304,38.011982,4.945483,0,5,2020-03-17,2020-03-21,fao_no_locust,0.002523109,0.036368548,293.6762914,295.3199659,295.8795831,-4.157028211,-4.311587788,1.1870251899125694,1.109763727822381,1.2792662511296566,-0.07726146209018836
305,37.9505,4.96375,0,5,2020-03-17,2020-03-21,fao_no_locust,0.003121898,0.032321303,293.8897842,295.4969082,296.2069811,-4.444176296,-6.09911797,0.9772675409021522,1.0575330770514344,0.9756338060005628,0.08026553614928222
306,37.89892,4.960883,0,5,2020-03-17,2020-03-23,fao_no_locust,0.002698287,0.029207899,294.9999947,296.2706821,297.1175171,-6.77359919,-7.077952882,0.6572462830946079,0.6966810883056899,0.5712484501047499,0.039434805211082
307,37.837715,4.985283,0,5,2020-03-17,2020-03-23,fao_no_locust,0.001627445,0.018838837,297.1500652,297.5975375,298.3829251,-4.888909938,-4.116987901,0.9498945385107332,0.9800295847099876,1.126193895564063,0.030135046199254334
308,37.760117,5.012434,0,5,2020-03-17,2020-03-23,fao_no_locust,0.001627445,0.018838837,297.1500652,297.5975375,298.3829251,-7.575829707,-4.61969001,0.7743961201859847,0.5962154582033591,0.7603949745399581,-0.1781806619826256
309,38.1978,4.7738,0,5,2020-03-17,2020-03-23,fao_no_locust,0.001329288,0.015952557,293.9816896,297.5224941,298.712439,-6.348144544,-7.127209468,0.7815541360223752,0.7528210703087589,0.4253293847826927,-0.028733065713616335
310,38.192616,4.735317,0,5,2020-03-17,2020-03-23,fao_no_locust,0.001140878,0.015082701,294.731988,297.8601081,299.0348999,-4.434575458,-4.182015009,0.875256086749595,1.059253742641441,0.947509680572631,0.18399765589184602
311,38.205868,4.706433,0,5,2020-03-17,2020-03-23,fao_no_locust,0.001140878,0.015082701,294.731988,297.8601081,299.0348999,-6.397398207,-6.453082247,1.0013690196062346,0.7459146248949319,1.0710608003425983,-0.2554543947113027
312,38.212917,4.69975,0,5,2020-03-17,2020-03-23,fao_no_locust,0.001140878,0.015082701,294.731988,297.8601081,299.0348999,-5.358992868,-5.443707321,0.9338698704226012,0.9019607335375506,1.0540551043567317,-0.03190913688505059
313,36.70945,1.09685,0,5,2020-03-17,2020-03-23,fao_no_locust,0.016915113,0.029526397,291.5389433,292.7240838,292.525373,-7.40740542,-8.30368444,0.5917170975862669,0.6229668574021803,0.628661051871045,0.03124975981591338
314,38.88078211600918,3.3656526496842134,0,5,2020-03-17,,synthetic_background,0.000455544,0.022348001,299.0718968,301.5092509,301.9774075,-5.921667291,-5.639543185,0.8839997069777146,0.814678931461218,0.7718641676423368,-0.06932077551649662
315,38.79860628165278,2.5639429872459445,0,5,2020-03-17,,synthetic_background,0.001876474,0.02939394,300.4230796,303.6301439,304.478791,-7.004266914,-7.177527578,0.7603346484662185,0.6707856611670477,0.7787287358027364,-0.08954898729917071
316,36.81090298520353,3.817819507971096,0,5,2020-03-17,,synthetic_background,0.000666797,0.046960785,301.0756837,304.7072055,304.4749499,-8.698244575,-8.48706139,0.5100627751454798,0.4771420986452611,0.3543113981690768,-0.03292067650021874
317,38.62535428178478,1.864989298125092,0,5,2020-03-17,,synthetic_background,0.003550723,0.044943213,300.5677627,303.2126146,303.6613268,-9.727607929,-7.179712956,0.5611779987077076,0.4022676672222892,0.6279814956791625,-0.1589103314854184
318,37.20389996266391,4.041287023503841,0,5,2020-03-17,,synthetic_background,0.000622317,0.056377589,300.5510798,304.2366923,303.4205987,-8.378766438,-7.507451856,0.5686524039441021,0.5073201731206152,0.5194547415933094,-0.06133223082348693
319,36.86068532170378,0.750546000591009,0,5,2020-03-17,,synthetic_background,0.01188764,0.016458078,292.9324057,294.7509663,294.8215373,-6.152259719,-7.043353636,0.6695966168211618,0.7807742198497097,0.7600668732434388,0.11117760302854796
320,36.30738293185959,4.029980988279215,0,5,2020-03-17,,synthetic_background,0.001072958,0.008976027,302.9535537,306.9620449,305.6846721,-5.437897069,-5.218181427,0.9210247144710526,0.8992885228392447,0.969893973630408,-0.021736191631807955
321,36.78817064544101,0.1312655377361422,0,5,2020-03-17,,synthetic_background,0.022481755,0.012666955,290.8509821,292.0175408,292.2586304,-6.21799416,-6.057717642,1.056238594243093,0.7713070906968245,0.7568582811595816,-0.2849315035462685
322,38.47292528212499,2.9622218622207503,0,5,2020-03-17,,synthetic_background,0.000500068,0.02097021,300.2273873,303.2817443,303.8192641,-8.795012049,-8.909360041,0.5625227073864527,0.4664323716322017,0.3452610707568462,-0.09609033575425102
